,title,word count,l1,l2,l3,l4,l5,l6,l7,l8
https://colorcodedlyrics.com/minx-superstar-superman,Superstar Superman,220,0.140909091,0.172727273,0.236363636,0.272727273,0.286363636,0.336363636,0.359090909,0.381818182
https://colorcodedlyrics.com/minzy-ninano-ninano-feat-flowsik,니나노,344,0.098837209,0.165697674,0.218023256,0.279069767,0.293604651,0.348837209,0.363372093,0.377906977
https://colorcodedlyrics.com/mir-come-on-ilioneola,이리오너라,385,0.103896104,0.171428571,0.179220779,0.207792208,0.238961039,0.342857143,0.358441558,0.361038961
https://colorcodedlyrics.com/miryo-ft-sunny-milyo-ft-sseoni-i-love-you-i-love-you-salanghae-salanghae,사랑해 사랑해(Feat. 써니),561,0.13368984,0.188948307,0.256684492,0.303030303,0.336898396,0.393939394,0.418894831,0.426024955
https://colorcodedlyrics.com/miryo-milyo-leggo-feat-naleusya-narsha,Leggo,368,0.130434783,0.1875,0.255434783,0.298913043,0.361413043,0.41576087,0.4375,0.448369565
https://colorcodedlyrics.com/miryo-milyo-party-rock-feat-gaeli-kagseu-leessang-s-gary-the-koxx,Party Rock,344,0.162790698,0.226744186,0.25,0.281976744,0.311046512,0.389534884,0.421511628,0.421511628
https://colorcodedlyrics.com/miryo-milyo-queen-feat-ga-in,Queen,278,0.172661871,0.248201439,0.31294964,0.395683453,0.460431655,0.492805755,0.5,0.503597122
https://colorcodedlyrics.com/miryo_milyo_dirty_cc_lyrics,Dirty,490,0.13877551,0.185714286,0.232653061,0.248979592,0.328571429,0.404081633,0.434693878,0.444897959
https://colorcodedlyrics.com/miss-a-come-on-over-nolleowa,놀러와,194,0.118556701,0.164948454,0.262886598,0.309278351,0.335051546,0.391752577,0.402061856,0.402061856
https://colorcodedlyrics.com/miss-a-hide-sick,Hide &amp; Sick,238,0.18907563,0.201680672,0.260504202,0.31092437,0.357142857,0.407563025,0.411764706,0.428571429
https://colorcodedlyrics.com/miss-a-hush,Hush,222,0.238738739,0.265765766,0.337837838,0.396396396,0.427927928,0.441441441,0.441441441,0.468468468
https://colorcodedlyrics.com/miss-a-i-caught-ya,I Caught Ya,194,0.103092784,0.164948454,0.201030928,0.221649485,0.242268041,0.304123711,0.309278351,0.309278351
https://colorcodedlyrics.com/miss-a-like-u,Like U,290,0.162068966,0.244827586,0.34137931,0.393103448,0.427586207,0.44137931,0.444827586,0.444827586
https://colorcodedlyrics.com/miss-a-love-is-u,Love Is U,181,0.121546961,0.193370166,0.237569061,0.303867403,0.314917127,0.386740331,0.414364641,0.419889503
https://colorcodedlyrics.com/miss-a-love-song,Love Song,142,0.126760563,0.147887324,0.23943662,0.323943662,0.35915493,0.373239437,0.38028169,0.38028169
https://colorcodedlyrics.com/miss-a-mama-i-m-good,(Mama) I′m Good,182,0.17032967,0.241758242,0.274725275,0.302197802,0.318681319,0.357142857,0.379120879,0.39010989
https://colorcodedlyrics.com/miss-a-melting-noga,녹아,231,0.051948052,0.077922078,0.246753247,0.285714286,0.303030303,0.324675325,0.324675325,0.337662338
https://colorcodedlyrics.com/miss-a-miseu-ei-love-again-chinese-version,Miss A (미스 에이) &#8211; Love Again (Chinese Version),11,0,0,0,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091
https://colorcodedlyrics.com/miss-a-misseu-ei-i-don-t-need-a-man-namjaeobsi-jalsala,남자없이 잘살아,419,0.105011933,0.159904535,0.279236277,0.319809069,0.348448687,0.391408115,0.417661098,0.439140811
